code,parent,name,name_en,name_it,description,description_en,description_it
10000,,PUBLIC SECTOR INSTITUTIONS,PUBLIC SECTOR INSTITUTIONS,,,,
11000,10000,Donor Government,Donor Government,,,,
12000,10000,Recipient Government,Recipient Government,,,,
13000,10000,Third Country Government (Delegated co-operation),Third Country Government (Delegated co-operation),,,,
20000,,NON-GOVERNMENTAL ORGANISATIONS (NGOs) AND CIVIL SOCIETY,NON-GOVERNMENTAL ORGANISATIONS (NGOs) AND CIVIL SOCIETY,,,,
21000,20000,INTERNATIONAL NGO,INTERNATIONAL NGO,,,,
21001,21000,Association of Geoscientists for International Development,Association of Geoscientists for International Development,,,,
21005,21000,Consumer Unity and Trust Society International,Consumer Unity and Trust Society International,,,,
21007,21000,Environmental Liaison Centre International,Environmental Liaison Centre International,,,,
21011,21000,Global Campaign for Education,Global Campaign for Education,,,,
21013,21000,Health Action International,Health Action International,,,,
21016,21000,International Committee of the Red Cross,International Committee of the Red Cross,,,,
21018,21000,International Federation of Red Cross and Red Crescent Societies,International Federation of Red Cross and Red Crescent Societies,,,,
21020,21000,International HIV/AIDS Alliance,International HIV/AIDS Alliance,,,,
21022,21000,International Network for Alternative Financial Institutions,International Network for Alternative Financial Institutions,,,,
21023,21000,International Planned Parenthood Federation,International Planned Parenthood Federation,,,,
21024,21000,"Inter Press Service, International Association","Inter Press Service, International Association",,,,
21029,21000,Doctors Without Borders,Doctors Without Borders,,,,
21031,21000,PANOS Institute,PANOS Institute,,,,
21032,21000,Population Services International,Population Services International,,,,
21034,21000,International Union Against Tuberculosis and Lung Disease,International Union Against Tuberculosis and Lung Disease,,,,
21036,21000,World University Service,World University Service,,,,
21038,21000,International Alert,International Alert,,,,
21041,21000,Society for International Development,Society for International Development,,,,
21042,21000,International Peacebuilding Alliance,International Peacebuilding Alliance,,,,
21044,21000,International Council for the Control of Iodine Deficiency Disorders,International Council for the Control of Iodine Deficiency Disorders,,,,
21045,21000,African Medical and Research Foundation,African Medical and Research Foundation,,,,
21046,21000,Agency for Cooperation and Research in Development,Agency for Cooperation and Research in Development,,,,
21053,21000,"IPAS-Protecting Women’s Health, Advancing Women’s Reproductive Rights","IPAS-Protecting Women’s Health, Advancing Women’s Reproductive Rights",,,,
21054,21000,Life and Peace Institute,Life and Peace Institute,,,,
21057,21000,International Centre for Transitional Justice,International Centre for Transitional Justice,,,,
21061,21000,International Rehabilitation Council for Torture,International Rehabilitation Council for Torture,,,,
47035,21000,Environmental Development Action in the Third World,Environmental Development Action in the Third World,,,,
22000,20000,Donor country-based NGO,Donor country-based NGO,,,,
21006,22000,Development Gateway Foundation,Development Gateway Foundation,,,,
21008,22000,Eurostep,Eurostep,,,,
21014,22000,Human Rights Information and Documentation Systems,Human Rights Information and Documentation Systems,,,,
21015,22000,International Catholic Rural Association,International Catholic Rural Association,,,,
21019,22000,International Federation of Settlements and Neighbourhood Centres,International Federation of Settlements and Neighbourhood Centres,,,,
21025,22000,International Seismological Centre,International Seismological Centre,,,,
21026,22000,International Service for Human Rights,International Service for Human Rights,,,,
21027,22000,International Trust Fund for Demining and Mine Victims Assistance,International Trust Fund for Demining and Mine Victims Assistance,,,,
21033,22000,Transparency International,Transparency International,,,,
21035,22000,World Organisation Against Torture,World Organisation Against Torture,,,,
21037,22000,Women's World Banking,Women's World Banking,,,,
21040,22000,International Women's Tribune Centre,International Women's Tribune Centre,,,,
21047,22000,AgriCord,AgriCord,,,,
21049,22000,European Centre for Development Policy Management,European Centre for Development Policy Management,,,,
21050,22000,Geneva Call,Geneva Call,,,,
21058,22000,International Crisis Group,International Crisis Group,,,,
21060,22000,Association for the Prevention of Torture,Association for the Prevention of Torture,,,,
47042,22000,Foundation for International Training,Foundation for International Training,,,,
23000,20000,Developing country-based NGO,Developing country-based NGO,,,,
21003,23000,Latin American Council for Social Sciences,Latin American Council for Social Sciences,,,,
