code,group,name,name_en,name_it
1,dac,Austria,Austria,
2,dac,Belgium,Belgium,
3,dac,Denmark,Denmark,
4,dac,France,France,
5,dac,Germany,Germany,
6,dac,Italy,Italy,
7,dac,Netherlands,Netherlands,
8,dac,Norway,Norway,
9,dac,Portugal,Portugal,
10,dac,Sweden,Sweden,
11,dac,Switzerland,Switzerland,
12,dac,United Kingdom,United Kingdom,
18,dac,Finland,Finland,
20,dac,Iceland,Iceland,
21,dac,Ireland,Ireland,
22,dac,Luxembourg,Luxembourg,
40,dac,Greece,Greece,
50,dac,Spain,Spain,
61,dac,Slovenia,Slovenia,
68,dac,Czech Republic,Czech Republic,
69,dac,Slovak Republic,Slovak Republic,
76,dac,Poland,Poland,
301,dac,Canada,Canada,
302,dac,United States,United States,
701,dac,Japan,Japan,
742,dac,Korea,Korea,
801,dac,Australia,Australia,
820,dac,New Zealand,New Zealand,
918,dac,EU Institutions,EU Institutions,
104,multilateral,Nordic Dev.Fund,Nordic Dev.Fund,
807,multilateral,UNEP,UNEP,
811,multilateral,GEF,GEF,
812,multilateral,Montreal Protocol,Montreal Protocol,
901,multilateral,IBRD,IBRD,
903,multilateral,IFC,IFC,
905,multilateral,IDA,IDA,
906,multilateral,CarDB,CarDB,
907,multilateral,IMF,IMF,
909,multilateral,IDB,IDB,
912,multilateral,IDB Sp.Fund,IDB Sp.Fund,
913,multilateral,AfDB,AfDB,
914,multilateral,AfDF,AfDF,
915,multilateral,AsDB,AsDB,
916,multilateral,AsDB Special Funds,AsDB Special Funds,
921,multilateral,Arab Fund (AFESD),Arab Fund (AFESD),
923,multilateral,UNPBF,UNPBF,
928,multilateral,WHO,WHO,
944,multilateral,IAEA,IAEA,
948,multilateral,UNECE,UNECE,
951,multilateral,OFID,OFID,
953,multilateral,BADEA,BADEA,
958,multilateral,IMF (Concessional Trust Funds),IMF (Concessional Trust Funds),
959,multilateral,UNDP,UNDP,
960,multilateral,UNTA,UNTA,
963,multilateral,UNICEF,UNICEF,
964,multilateral,UNRWA,UNRWA,
966,multilateral,WFP,WFP,
967,multilateral,UNHCR,UNHCR,
971,multilateral,UNAIDS,UNAIDS,
974,multilateral,UNFPA,UNFPA,
976,multilateral,Isl.Dev Bank,Isl.Dev Bank,
978,multilateral,OSCE,OSCE,
988,multilateral,IFAD,IFAD,
990,multilateral,EBRD,EBRD,
1311,multilateral,GAVI,GAVI,
1312,multilateral,Global Fund,Global Fund,
30,non_dac,Cyprus,Cyprus,
45,non_dac,Malta,Malta,
55,non_dac,Turkey,Turkey,
70,non_dac,Liechtenstein,Liechtenstein,
72,non_dac,Bulgaria,Bulgaria,
75,non_dac,Hungary,Hungary,
77,non_dac,Romania,Romania,
82,non_dac,Estonia,Estonia,
83,non_dac,Latvia,Latvia,
84,non_dac,Lithuania,Lithuania,
87,non_dac,Russia,Russia,
130,non_dac,Algeria,Algeria,
133,non_dac,Libya,Libya,
543,non_dac,Iraq,Iraq,
546,non_dac,Israel,Israel,
552,non_dac,Kuwait (KFAED),Kuwait (KFAED),
561,non_dac,Qatar,Qatar,
566,non_dac,Saudi Arabia,Saudi Arabia,
576,non_dac,United Arab Emirates,United Arab Emirates,
732,non_dac,Chinese Taipei,Chinese Taipei,
764,non_dac,Thailand,Thailand,
1601,private,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,
