code,parent,name,name_en,name_it,description,description_en,description_it
0,,NON FLOW ITEMS,NON FLOW ITEMS,,,,
1,0,GNI: Gross National Income,GNI: Gross National Income,,,,
2,0,ODA % GNI,ODA % GNI,,,,
3,0,Total flows % GNI,Total flows % GNI,,,,
4,0,Population,Population,,,,
100,,GRANT,GRANT,,,,
110,100,Aid grant excluding debt reorganisation,Aid grant excluding debt reorganisation,,,,
111,100,Subsidies to national private investors,Subsidies to national private investors,,,,
200,,INTEREST SUBSIDY,INTEREST SUBSIDY,,,,
210,200,Interest subsidy grant in AF,Interest subsidy grant in AF,,,,
211,200,Interest subsidy to national private exporters,Interest subsidy to national private exporters,,,,
300,,CAPITAL SUBSCRIPTION,CAPITAL SUBSCRIPTION,,,,
310,300,Deposit basis,Deposit basis,,,,
311,300,Encashment basis,Encashment basis,,,,
400,,LOAN,LOAN,,,,
410,400,Aid loan excluding debt reorganisation,Aid loan excluding debt reorganisation,,,,
411,400,Investment-related loan to developing countries,Investment-related loan to developing countries,,,,
412,400,Loan in a joint venture with the recipient,Loan in a joint venture with the recipient,,,,
413,400,Loan to national private investor,Loan to national private investor,,,,
414,400,Loan to national private exporter,Loan to national private exporter,,,,
451,400,Non-banks guaranteed export credits,Non-banks guaranteed export credits,,,,
452,400,Non-banks non-guaranteed portions of guaranteed export credits,Non-banks non-guaranteed portions of guaranteed export credits,,,,
453,400,Bank export credits,Bank export credits,,,,
450,,EXPORT CREDIT,EXPORT CREDIT,,,,
500,,EQUITY,EQUITY,,,,
510,500,Acquisition of equity as part of a joint venture with the recipient,Acquisition of equity as part of a joint venture with the recipient,,,,
511,500,Acquisition of equity not part of joint venture in developing countries,Acquisition of equity not part of joint venture in developing countries,,,,
512,500,Other acquisition of equity,Other acquisition of equity,,,,
600,,DEBT RELIEF,DEBT RELIEF,,,,
610,600,Debt forgiveness:  ODA claims (P),Debt forgiveness:  ODA claims (P),,,,
611,600,Debt forgiveness: ODA claims (I),Debt forgiveness: ODA claims (I),,,,
612,600,Debt forgiveness: OOF claims (P),Debt forgiveness: OOF claims (P),,,,
613,600,Debt forgiveness: OOF claims (I),Debt forgiveness: OOF claims (I),,,,
614,600,Debt forgiveness:  Private claims (P),Debt forgiveness:  Private claims (P),,,,
615,600,Debt forgiveness:  Private claims (I),Debt forgiveness:  Private claims (I),,,,
616,600,Debt forgiveness: OOF claims (DSR),Debt forgiveness: OOF claims (DSR),,,,
617,600,Debt forgiveness:  Private claims (DSR),Debt forgiveness:  Private claims (DSR),,,,
618,600,Debt forgiveness: Other,Debt forgiveness: Other,,,,
620,600,Debt rescheduling: ODA claims (P),Debt rescheduling: ODA claims (P),,,,
621,600,Debt rescheduling: ODA claims (I),Debt rescheduling: ODA claims (I),,,,
622,600,Debt rescheduling: OOF claims (P),Debt rescheduling: OOF claims (P),,,,
623,600,Debt rescheduling: OOF claims (I),Debt rescheduling: OOF claims (I),,,,
624,600,Debt rescheduling:  Private claims (P),Debt rescheduling:  Private claims (P),,,,
625,600,Debt rescheduling:  Private claims (I),Debt rescheduling:  Private claims (I),,,,
626,600,Debt rescheduling: OOF claims (DSR),Debt rescheduling: OOF claims (DSR),,,,
627,600,Debt rescheduling:  Private claims (DSR),Debt rescheduling:  Private claims (DSR),,,,
630,600,Debt rescheduling: OOF claim (DSR - original loan principal),Debt rescheduling: OOF claim (DSR - original loan principal),,,,
631,600,Debt rescheduling: OOF claim (DSR - original loan interest),Debt rescheduling: OOF claim (DSR - original loan interest),,,,
632,600,Debt rescheduling: Private claim (DSR - original loan principal),Debt rescheduling: Private claim (DSR - original loan principal),,,,
700,,INVESTMENT,INVESTMENT,,,,
710,700,Foreign direct investment,Foreign direct investment,,,,
711,700,"Other foreign direct investment, including reinvested earnings","Other foreign direct investment, including reinvested earnings",,,,
800,,BONDS,BONDS,,,,
810,800,Bank bonds,Bank bonds,,,,
811,800,Non-bank  bonds,Non-bank  bonds,,,,
900,,OTHER SECURITIES/CLAIMS,OTHER SECURITIES/CLAIMS,,,,
910,900,Other bank securities/claims,Other bank securities/claims,,,,
911,900,Other non-bank securities/claims,Other non-bank securities/claims,,,,
912,900,Securities and other instruments issued by multilateral agencies,Securities and other instruments issued by multilateral agencies,,,,
