"code","parent","name","name_en","name_it","description","description_en","description_it"
1000,,"Total All Sectors","Total All Sectors",,,,
100,1000,"I. Social Infrastructure & Services, Total","Social Infrastructure & Services","Infrastrutture e servizi sociali","Social Infrastructure and Services: This main category covers efforts to develop the human resource potential and ameliorate living conditions in aid recipient countries. It includes, but is not exhausted by: Education: educational infrastructure, services and investment in all areas. Specialised education in particular fields such as agriculture or energy is reported against the sector concerned. Health and Population: assistance to hospitals and clinics, including specialised institutions such as those for tuberculosis, maternal and child care; other medical and dental services, including disease and epidemic control, vaccination programmes, nursing, provision of drugs, health demonstration, etc.; public health administration and medical insurance programmes; reproductive health and family planning. Water Supply, Sanitation and Sewerage: all assistance given for water supply, use and sanitation; river development, but excluding irrigation systems for agriculture.",,"Iniziative tese a sviluppare il potenziale delle risorse umane e migliorare le condizioni di vita nei paesi beneficiari degli aiuti. Comprende i sottosettori: Istruzione; Salute e Popolazione; Approvvigionamento idrico, servizi igienico-sanitari e fognatura; Governo e società civile."
110,100,"I.1. Education, Total","Education","Educazione",,,"Infrastrutture, servizi e investimenti in tutti i settori educativi. Formazione specializzata in settori particolari come l'agricoltura o l'energia viene riportata nel settore interessato."
111,110,"I.1.a. Education, Level Unspecified, Total","I.1.a. Education, Level Unspecified, Total",,"The codes in this category are to be used only when level of education is unspecified or unknown (e.g. training of primary school teachers should be coded under 11220).",,
11110,111,"Education policy & admin. management","Education policy & admin. management",,"Education sector policy, planning and programmes; aid to education ministries, administration and management systems; institution capacity building and advice; school management and governance; curriculum and materials development; unspecified education activities.",,
11120,111,"Education facilities and training","Education facilities and training",,"Educational buildings, equipment, materials; subsidiary services to education (boarding facilities, staff housing); language training; colloquia, seminars, lectures, etc.",,
11130,111,"Teacher training","Teacher training",,"Teacher education (where the level of education is unspecified); in-service and pre-service training; materials development.",,
11182,111,"Educational research","Educational research",,"Research and studies on education effectiveness, relevance and quality; systematic evaluation and monitoring.",,
112,110,"I.1.b. Basic Education, Total","I.1.b. Basic Education, Total",,,,
11220,112,"Primary education","Primary education",,"Formal and non-formal primary education for children; all elementary and first cycle systematic instruction; provision of learning materials.",,
11230,112,"Basic life skills for youth & adults","Basic life skills for youth & adults",,"Formal and non-formal education for basic life skills for young people and adults (adults education); literacy and numeracy training.",,
11240,112,"Early childhood education","Early childhood education",,"Formal and non-formal pre-school education.",,
113,110,"I.1.c. Secondary Education, Total","I.1.c. Secondary Education, Total",,,,
11320,113,"Secondary education","Secondary education",,"Second cycle systematic instruction at both junior and senior levels.",,
11330,113,"Vocational training","Vocational training",,"Elementary vocational training and secondary level technical education; on-the job training; apprenticeships; including informal vocational training.",,
114,110,"I.1.d. Post-Secondary Education, Total","I.1.d. Post-Secondary Education, Total",,,,
11420,114,"Higher education","Higher education",,"Degree and diploma programmes at universities, colleges and polytechnics; scholarships.",,
11430,114,"Advanced tech. & managerial training","Advanced tech. & managerial training",,"Professional-level vocational training programmes and in-service training.",,
120,100,"I.2. Health, Total","Health","Salute",,,"Assistenza a ospedali e cliniche, comprese le istituzioni specializzate, come quelle per la tubercolosi, maternità e cura dei figli; altri servizi medici e dentistici, compreso il controllo delle malattie epidemiche, programmi di vaccinazione, assistenza infermieristica, fornitura di farmaci, ecc; programmi di amministrazione di salute pubblica e di assicurazione medica."
121,120,"I.2.a. Health, General, Total","I.2.a. Health, General, Total",,,,
12110,121,"Health policy & admin. management","Health policy & admin. management",,"Health sector policy, planning and programmes; aid to health ministries, public health administration; institution capacity building and advice; medical insurance programmes; unspecified health activities.",,
12181,121,"Medical education/training","Medical education/training",,"Medical education and training for tertiary level services.",,
12182,121,"Medical research","Medical research",,"General medical research (excluding basic health research).",,
12191,121,"Medical services","Medical services",,"Laboratories, specialised clinics and hospitals (including equipment and supplies); ambulances; dental services; mental health care; medical rehabilitation; control of non-infectious diseases; drug and substance abuse control [excluding narcotics traffic control (16063)].",,
122,120,"I.2.b. Basic Health, Total","I.2.b. Basic Health, Total",,,,
12220,122,"Basic health care","Basic health care",,"Basic and primary health care programmes; paramedical and nursing care programmes; supply of drugs, medicines and vaccines related to basic health care.",,
12230,122,"Basic health infrastructure","Basic health infrastructure",,"District-level hospitals, clinics and dispensaries and related medical equipment; excluding specialised hospitals and clinics (12191).",,
12240,122,"Basic nutrition","Basic nutrition",,"Direct feeding programmes (maternal feeding, breastfeeding and weaning foods, child feeding, school feeding); determination of micro-nutrient deficiencies; provision of vitamin A, iodine, iron etc.; monitoring of nutritional status; nutrition and food hygiene education; household food security.",,
12250,122,"Infectious disease control","Infectious disease control",,"Immunisation; prevention and control of infectious and parasite diseases, except malaria (12262), tuberculosis (12263), HIV/AIDS and other STDs (13040). It includes diarrheal diseases, vector-borne diseases (e.g. river blindness and guinea worm), viral diseases, mycosis, helminthiasis, zoonosis, diseases by other bacteria and viruses, pediculosis, etc.",,
12261,122,"Health education","Health education",,"Information, education and training of the population for improving health knowledge and practices; public health and awareness campaigns; promotion of improved personal hygiene practices, including use of sanitation facilities and handwashing with soap.",,
12262,122,"Malaria control","Malaria control",,"Prevention and control of malaria.",,
12263,122,"Tuberculosis control","Tuberculosis control",,"Immunisation, prevention and control of tuberculosis.",,
12281,122,"Health personnel development","Health personnel development",,"Training of health staff for basic health care services.",,
130,100,"I.3. Population Pol./Progr. & Reproductive Health, Total","Population Pol./Progr. & Reproductive Health","Programmi e politiche per la popolazione e salute riproduttiva",,,"Salute riproduttiva e pianificazione familiare"
13010,130,"Population policy and admin. mgmt","Population policy and admin. mgmt",,"Population/development policies; census work, vital registration; migration data; demographic research/analysis; reproductive health research; unspecified population activities.",,
