Year,donorcode,donorname,agencycode,agencyname,crsid,projectnumber,initialreport,recipientcode,recipientname,regioncode,regionname,incomegroupcode,incomegroupname,flowcode,flowname,bi_multi,category,finance_t,aid_t,usd_commitment,usd_disbursement,usd_received,usd_commitment_defl,usd_disbursement_defl,usd_received_defl,usd_adjustment,usd_adjustment_defl,usd_amountuntied,usd_amountpartialtied,usd_amounttied,usd_amountuntied_defl,usd_amountpartialtied_defl,usd_amounttied_defl,usd_IRTC,usd_expert_commitment,usd_expert_extended,usd_export_credit,currencycode,commitment_national,disbursement_national,shortdescription,projecttitle,purposecode,purposename,sectorcode,sectorname,channelcode,channelname,channelreportedname,geography,expectedstartdate,completiondate,longdescription,gender,environment,trade,pdgg,FTC,PBA,investmentproject,assocfinance,biodiversity,climateMitigation,climateAdaptation,desertification,commitmentdate,typerepayment,numberrepayment,interest1,interest2,repaydate1,repaydate2,grantelement,usd_interest,usd_outstanding,usd_arrears_principal,usd_arrears_interest,usd_future_DS_principal,usd_future_DS_interest
2004,6,Italy,2,AGEA,200400S138z,,3,130,Algeria,,,10019,UMICs,11,ODA Grants,1,10,110,,,1.8558299999999999,,,2.342884741364565,,,,,,,,,,,,,,302,,1.8558299999999999,Food aid/Food security programmes,,52010,Food aid/Food security programmes,520,VI.2. Dev. Food Aid/Food Security Ass.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,6,Italy,2,AGEA,200400S139z,,3,130,Algeria,,,10019,UMICs,11,ODA Grants,1,10,110,,,1.8625099999999999,,,2.3513178791370519,,,,,,,,,,,,,,302,,1.8625099999999999,Food aid/Food security programmes,,52010,Food aid/Food security programmes,520,VI.2. Dev. Food Aid/Food Security Ass.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,6,Italy,2,AGEA,200400S140z,,3,228,Burundi,,,10016,LDCs,11,ODA Grants,1,10,110,,,1.2423900000000001,,,1.5684500055629673,,,,,,,,,,,,,,302,,1.2423900000000001,Food aid/Food security programmes,,52010,Food aid/Food security programmes,520,VI.2. Dev. Food Aid/Food Security Ass.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,6,Italy,2,AGEA,200400S141z,,3,231,Central African Rep.,,,10016,LDCs,11,ODA Grants,1,10,110,,,0.62120000000000009,,,0.78423131501035526,,,,,,,,,,,,,,302,,0.62120000000000009,Food aid/Food security programmes,,52010,Food aid/Food security programmes,520,VI.2. Dev. Food Aid/Food Security Ass.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,6,Italy,2,AGEA,200400S142z,,3,232,Chad,,,10016,LDCs,11,ODA Grants,1,10,110,,,0.62120000000000009,,,0.78423131501035526,,,,,,,,,,,,,,302,,0.62120000000000009,Food aid/Food security programmes,,52010,Food aid/Food security programmes,520,VI.2. Dev. Food Aid/Food Security Ass.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,6,Italy,2,AGEA,200400S143z,,3,235,"Congo, Dem. Rep.",,,10016,LDCs,11,ODA Grants,1,10,110,,,2.4847800000000002,,,3.1369000111259346,,,,,,,,,,,,,,302,,2.4847800000000002,Food aid/Food security programmes,,52010,Food aid/Food security programmes,520,VI.2. Dev. Food Aid/Food Security Ass.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,6,Italy,2,AGEA,200400S146z,,3,247,Cote d'Ivoire,,,10018,LMICs,11,ODA Grants,1,10,110,,,1.8635899999999999,,,2.3526813205733226,,,,,,,,,,,,,,302,,1.8635899999999999,Food aid/Food security programmes,,52010,Food aid/Food security programmes,520,VI.2. Dev. Food Aid/Food Security Ass.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,6,Italy,2,AGEA,200400S157z,,3,342,El Salvador,,,10018,LMICs,11,ODA Grants,1,10,110,,,1.2388800000000002,,,1.5640188208950885,,,,,,,,,,,,,,302,,1.2388800000000002,Food aid/Food security programmes,,52010,Food aid/Food security programmes,520,VI.2. Dev. Food Aid/Food Security Ass.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,6,Italy,2,AGEA,200400S152z,,3,271,Eritrea,,,10016,LDCs,11,ODA Grants,1,10,110,,,1.2423900000000001,,,1.5684500055629673,,,,,,,,,,,,,,302,,1.2423900000000001,Food aid/Food security programmes,,52010,Food aid/Food security programmes,520,VI.2. Dev. Food Aid/Food Security Ass.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,6,Italy,2,AGEA,200400S144z,,3,238,Ethiopia,,,10016,LDCs,11,ODA Grants,1,10,110,,,1.86361,,,2.352706569488809,,,,,,,,,,,,,,302,,1.86361,Food aid/Food security programmes,,52010,Food aid/Food security programmes,520,VI.2. Dev. Food Aid/Food Security Ass.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,6,Italy,2,AGEA,200400S137z,,3,612,Georgia,,,10018,LMICs,11,ODA Grants,1,10,110,,,1.2423900000000001,,,1.5684500055629673,,,,,,,,,,,,,,302,,1.2423900000000001,Food aid/Food security programmes,,52010,Food aid/Food security programmes,520,VI.2. Dev. Food Aid/Food Security Ass.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,6,Italy,2,AGEA,200400S145z,,3,244,Guinea-Bissau,,,10016,LDCs,11,ODA Grants,1,10,110,,,0.62120000000000009,,,0.78423131501035526,,,,,,,,,,,,,,302,,0.62120000000000009,Food aid/Food security programmes,,52010,Food aid/Food security programmes,520,VI.2. Dev. Food Aid/Food Security Ass.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
